lng,lat
115.986916,28.671358
115.98704,28.671349
115.98715,28.67134
115.987274,28.67133
115.9874,28.67132
115.98751,28.67131
115.987625,28.6713
115.98775,28.67129
115.98786,28.67128
115.98797,28.671268
115.98808,28.671259
115.98819,28.671251
115.9883,28.671244
115.9884,28.671234
115.9885,28.671225
115.988594,28.671215
115.98868,28.67121
115.988754,28.671207
115.988815,28.671204
115.98887,28.671202
115.98892,28.671196
115.988976,28.67119
115.98903,28.671186
115.98908,28.67118
115.98915,28.671171
115.98922,28.671162
115.989296,28.671146
115.98938,28.67113
115.98946,28.671118
115.98955,28.6711
115.98964,28.671082
115.98973,28.67106
115.98983,28.671043
115.98992,28.671026
115.99002,28.671007
115.99011,28.67099
115.99021,28.670973
115.9903,28.67096
115.99039,28.670944
115.99047,28.67093
115.99054,28.670921
115.99061,28.670914
115.99066,28.670904
115.99071,28.670897
115.99075,28.67089
115.99078,28.670885
115.99081,28.670883
115.99082,28.670883
115.99083,28.670881
115.99084,28.67088
115.990845,28.670876
115.99086,28.670866
115.990875,28.670862
115.9909,28.670856
115.99097,28.67085
115.99101,28.670845
115.991066,28.670837
115.99113,28.670828
115.99119,28.670818
115.99125,28.67081
115.99132,28.670805
115.991394,28.670795
115.99148,28.670795
115.991554,28.670794
115.99164,28.670794
115.99174,28.670792
115.99184,28.67079
115.991936,28.67079
115.992035,28.670792
115.99214,28.67079
115.992256,28.67079
115.99238,28.670788
115.9925,28.670786
115.99262,28.670786
115.99275,28.670786
115.99288,28.670782
115.993004,28.67078
115.99314,28.670774
115.99327,28.670774
115.9934,28.67077
115.99353,28.670767
115.99366,28.670767
115.993805,28.670752
115.993935,28.670752
115.994064,28.67075
115.9942,28.670748
115.99433,28.670748
115.99448,28.67074
115.99461,28.67074
115.99475,28.670738
